name;version;name;wmc;dit;noc;cbo;rfc;lcom;ca;npm;bug
ant;1.7;org.apache.tools.ant.taskdefs.rmic.RmicAdapterFactory;3;1;0;10;18;3;1;1;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.perforce.FStatP4OutputHandler;5;2;0;4;13;0;1;4;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.junit.OutErrSummaryJUnitResultFormatter;1;2;0;1;3;0;0;1;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.perforce.P4HandlerAdapter;8;1;9;13;20;12;9;8;0
ant;1.7;org.apache.tools.ant.taskdefs.WaitFor;9;3;0;5;26;16;0;7;1
ant;1.7;org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantCPInfo;3;2;5;7;4;1;6;2;0
ant;1.7;org.apache.tools.zip.AsiExtraField;20;1;0;4;40;130;0;18;1
ant;1.7;org.apache.tools.ant.types.resources.selectors.Date;13;1;0;7;28;20;2;12;0
ant;1.7;org.apache.tools.ant.util.facade.FacadeTaskHelper;9;1;0;5;19;8;4;9;0
ant;1.7;org.apache.tools.ant.types.selectors.DepthSelector;7;5;0;9;25;0;6;7;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.dotnet.JSharp;9;6;0;5;17;26;0;6;0
ant;1.7;org.apache.tools.ant.taskdefs.LogStreamHandler;3;2;0;19;10;3;14;3;0
ant;1.7;org.apache.tools.ant.input.InputHandler;1;1;0;10;1;0;8;1;0
ant;1.7;org.apache.tools.zip.JarMarker;9;1;0;3;12;20;1;8;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.clearcase.CCMkbl;19;4;0;7;40;129;0;16;0
ant;1.7;org.apache.tools.ant.types.resources.Restrict;10;4;2;13;26;0;7;9;0
ant;1.7;org.apache.tools.ant.DemuxInputStream;3;2;0;2;5;0;1;3;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc;20;1;0;7;79;136;5;10;0
ant;1.7;org.apache.tools.zip.ZipExtraField;6;1;0;8;6;15;7;6;0
ant;1.7;org.apache.tools.ant.types.resources.comparators.FileSystem;3;4;0;5;11;1;1;1;1
ant;1.7;org.apache.tools.ant.taskdefs.condition.TypeFound;5;2;0;7;14;6;0;4;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.perforce.P4OutputHandler;1;1;0;1;1;0;0;1;0
ant;1.7;org.apache.tools.ant.taskdefs.email.Message;11;2;0;7;26;0;5;11;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.vss.MSVSSCP;3;4;0;5;15;3;0;2;0
ant;1.7;org.apache.tools.ant.taskdefs.condition.IsSet;3;2;0;5;7;1;1;3;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.Rpm;16;3;0;15;65;76;0;13;1
ant;1.7;org.apache.tools.ant.types.selectors.BaseExtendSelector;4;4;8;12;5;0;8;3;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.junit.XMLJUnitResultFormatter;15;1;0;11;65;75;0;11;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.net.SetProxy;11;3;0;3;24;17;0;10;0
ant;1.7;org.apache.tools.ant.util.KeepAliveInputStream;2;3;0;1;3;1;1;2;0
ant;1.7;org.apache.tools.ant.taskdefs.CallTarget;15;3;0;9;41;0;0;15;0
ant;1.7;org.apache.tools.ant.taskdefs.DefBase;14;4;3;11;29;85;3;11;0
ant;1.7;org.apache.tools.zip.ZipOutputStream;27;3;0;8;101;157;5;15;1
ant;1.7;org.apache.tools.ant.taskdefs.optional.perforce.P4Label;5;4;0;8;23;4;4;5;0
ant;1.7;org.apache.tools.ant.taskdefs.XSLTLiaison;3;1;0;2;3;3;2;3;0
ant;1.7;org.apache.tools.ant.types.resources.BCFileSet;4;5;0;5;19;6;0;4;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.extension.ExtraAttribute;6;1;0;2;11;3;1;4;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.vss.MSVSS;55;3;8;20;106;1313;8;9;0
ant;1.7;org.apache.tools.ant.util.regexp.Jdk14RegexpRegexp;3;2;0;4;19;3;0;2;0
ant;1.7;org.apache.tools.ant.taskdefs.condition.AntVersion;8;1;0;4;22;0;0;6;0
ant;1.7;org.apache.tools.ant.util.LazyFileOutputStream;11;2;0;1;23;39;1;10;0
ant;1.7;org.apache.tools.ant.util.LoaderUtils;10;1;0;10;29;43;7;8;0
ant;1.7;org.apache.tools.ant.loader.AntClassLoader2;1;3;0;1;2;0;0;1;0
ant;1.7;org.apache.tools.ant.taskdefs.rmic.ForkingSunRmic;3;2;1;12;22;3;2;2;0
ant;1.7;org.apache.tools.ant.util.StringUtils;9;1;0;32;36;36;32;7;0
ant;1.7;org.apache.tools.ant.types.Parameter;7;1;0;24;8;3;24;7;0
ant;1.7;org.apache.tools.ant.util.regexp.Jdk14RegexpMatcher;9;1;1;4;19;30;1;7;0
ant;1.7;org.apache.tools.ant.DirectoryScanner;63;1;2;61;144;1603;51;31;3
ant;1.7;org.apache.tools.ant.taskdefs.LogOutputStream;6;3;2;20;13;7;17;3;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.jsp.JspMangler;2;1;0;6;2;1;6;2;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.dotnet.Ildasm;22;3;0;5;47;159;0;19;0
ant;1.7;org.apache.tools.ant.taskdefs.Apt;17;5;0;9;34;118;2;17;1
ant;1.7;org.apache.tools.ant.taskdefs.MacroInstance;12;3;0;15;99;18;1;8;2
ant;1.7;org.apache.tools.ant.DemuxOutputStream;10;2;0;3;30;27;1;5;0
ant;1.7;org.apache.tools.ant.types.ZipScanner;2;3;0;9;20;1;2;1;1
ant;1.7;org.apache.tools.ant.taskdefs.ExecTask;43;3;1;25;120;451;9;30;1
ant;1.7;org.apache.tools.ant.types.DataType;22;2;28;37;44;183;31;7;0
ant;1.7;org.apache.tools.ant.types.ArchiveFileSet;34;5;2;15;67;295;4;29;3
ant;1.7;org.apache.tools.ant.taskdefs.rmic.XNewRmic;2;3;0;3;4;1;1;1;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.junit.Enumerations;3;1;0;3;6;3;1;2;0
ant;1.7;org.apache.tools.ant.taskdefs.Nice;4;3;0;3;16;2;0;4;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.Script;11;3;0;8;26;0;0;11;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.junit.JUnitVersionHelper;4;1;0;7;20;4;4;2;1
ant;1.7;org.apache.tools.ant.AntClassLoader;56;2;2;51;169;1200;37;35;6
ant;1.7;org.apache.tools.ant.types.selectors.DifferentSelector;5;5;0;8;16;0;5;3;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.junit.DOMUtil;5;1;0;3;41;10;1;4;0
ant;1.7;org.apache.tools.ant.types.selectors.modifiedselector.DigestAlgorithm;7;1;0;3;26;0;1;7;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.windows.Attrib;17;5;0;6;35;130;0;12;1
ant;1.7;org.apache.tools.ant.taskdefs.cvslib.ChangeLogWriter;4;1;0;6;33;0;1;2;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.extension.JarLibDisplayTask;5;3;0;6;26;0;0;4;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.ssh.SSHExec;9;4;0;11;54;10;1;7;4
ant;1.7;org.apache.tools.ant.taskdefs.TaskOutputStream;3;2;0;1;10;0;0;1;0
ant;1.7;org.apache.tools.ant.types.resources.selectors.Size;6;1;0;3;10;0;0;6;0
ant;1.7;org.apache.tools.ant.types.selectors.MajoritySelector;4;5;0;7;15;0;6;4;0
ant;1.7;org.apache.tools.ant.taskdefs.condition.IsFailure;4;1;0;2;6;0;0;4;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.junit.XalanExecutor;9;1;1;4;32;34;1;0;0
ant;1.7;org.apache.tools.ant.types.selectors.SizeSelector;8;5;0;11;31;0;6;8;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.Cab;15;4;0;14;83;47;0;8;0
ant;1.7;org.apache.tools.ant.util.TimeoutObserver;1;1;0;3;1;0;3;1;0
ant;1.7;org.apache.tools.ant.util.DOMElementWriter;17;1;0;8;67;90;7;13;0
ant;1.7;org.apache.tools.ant.types.resources.CompressedResource;24;4;2;7;50;270;2;20;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.depend.ClassFile;4;1;0;8;20;0;4;4;0
ant;1.7;org.apache.tools.zip.ZipEntry;27;2;0;11;53;229;8;23;1
ant;1.7;org.apache.tools.ant.types.AntFilterReader;10;3;0;8;32;15;2;10;0
ant;1.7;org.apache.tools.ant.DynamicAttribute;1;1;0;4;1;0;3;1;0
ant;1.7;org.apache.tools.ant.types.selectors.ExtendSelector;10;4;0;15;36;3;6;10;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.ccm.CCMCheck;11;4;3;12;41;19;3;9;0
ant;1.7;org.apache.tools.ant.taskdefs.JikesOutputParser;12;1;0;3;22;44;1;5;0
ant;1.7;org.apache.tools.ant.taskdefs.LoadProperties;12;3;0;14;58;0;0;11;1
ant;1.7;org.apache.tools.ant.taskdefs.condition.Not;2;3;0;3;8;1;1;2;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.ReplaceRegExp;15;3;0;10;77;41;0;12;3
ant;1.7;org.apache.tools.ant.taskdefs.BuildNumber;7;3;0;4;38;0;0;3;0
ant;1.7;org.apache.tools.ant.BuildLogger;4;1;0;6;4;6;5;4;0
ant;1.7;org.apache.tools.ant.types.resources.comparators.Reverse;4;4;0;5;8;4;2;3;0
ant;1.7;org.apache.tools.ant.types.resources.ArchiveResource;21;4;2;9;55;162;4;18;0
ant;1.7;org.apache.tools.ant.types.resources.First;4;4;0;3;12;0;0;3;0
ant;1.7;org.apache.tools.ant.taskdefs.email.Mailer;19;1;2;9;21;145;4;18;1
ant;1.7;org.apache.tools.ant.taskdefs.optional.junit.XMLResultAggregator;12;3;0;11;75;44;1;7;0
ant;1.7;org.apache.tools.ant.util.regexp.RegexpMatcher;6;1;0;9;6;15;8;6;0
ant;1.7;org.apache.tools.ant.types.selectors.OrSelector;3;5;0;7;14;3;6;3;0
ant;1.7;org.apache.tools.ant.types.spi.Service;7;2;0;5;27;0;1;7;0
ant;1.7;org.apache.tools.ant.taskdefs.Pack;14;3;2;8;38;83;2;8;2
ant;1.7;org.apache.tools.ant.taskdefs.optional.ejb.DescriptorHandler;11;2;3;11;39;7;9;10;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.jlink.jlink;17;1;0;2;81;100;1;9;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.perforce.SimpleP4OutputHandler;2;2;1;17;14;0;13;2;0
ant;1.7;org.apache.tools.ant.types.Mapper;15;3;0;25;44;45;16;13;0
ant;1.7;org.apache.tools.ant.Task;29;2;102;184;66;346;181;19;0
ant;1.7;org.apache.tools.ant.types.resources.Files;34;4;0;10;92;39;0;29;1
ant;1.7;org.apache.tools.ant.types.selectors.modifiedselector.HashvalueAlgorithm;4;1;0;2;13;6;1;4;0
ant;1.7;org.apache.tools.ant.util.SourceFileScanner;7;1;0;15;23;5;7;6;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.i18n.Translate;19;4;0;8;84;103;0;14;0
ant;1.7;org.apache.tools.ant.util.optional.WeakishReference12;1;3;0;1;2;0;0;1;0
ant;1.7;org.apache.tools.ant.types.selectors.FilenameSelector;8;5;0;10;23;0;6;8;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.junit.FormatterElement;15;1;0;7;34;75;2;11;0
ant;1.7;org.apache.tools.ant.util.regexp.RegexpMatcherFactory;6;1;1;8;22;15;3;3;0
ant;1.7;org.apache.tools.ant.taskdefs.Mkdir;4;3;0;3;18;4;0;3;0
ant;1.7;org.apache.tools.ant.BuildListener;7;1;0;16;7;21;15;7;1
ant;1.7;org.apache.tools.ant.taskdefs.optional.jlink.ClassNameReader;2;1;0;2;8;1;1;2;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.vss.MSVSSConstants;0;1;0;1;0;0;1;0;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.clearcase.CCMklbtype;24;4;0;7;43;222;0;20;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.pvcs.PvcsProject;3;1;0;1;4;1;1;3;0
ant;1.7;org.apache.tools.ant.filters.StripJavaComments;4;4;0;3;7;0;1;4;0
ant;1.7;org.apache.tools.ant.taskdefs.Taskdef;1;7;0;1;7;0;0;1;0
ant;1.7;org.apache.tools.ant.util.LineTokenizer;4;2;0;8;10;0;6;4;0
ant;1.7;org.apache.tools.ant.filters.ReplaceTokens;14;5;0;7;49;7;1;7;1
ant;1.7;org.apache.tools.ant.PathTokenizer;3;1;0;3;18;0;2;3;0
ant;1.7;org.apache.tools.ant.filters.BaseParamFilterReader;4;4;12;15;7;4;12;3;0
ant;1.7;org.apache.tools.ant.types.selectors.MappingSelector;8;4;2;9;24;8;2;6;0
ant;1.7;org.apache.tools.ant.util.ConcatFileInputStream;9;2;0;4;19;10;1;6;0
ant;1.7;org.apache.tools.ant.types.resources.selectors.And;3;4;0;4;9;3;1;3;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.javacc.JJTree;22;3;0;13;80;59;0;17;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.dotnet.DotnetBaseMatchingTask;11;4;2;8;38;45;2;6;0
ant;1.7;org.apache.tools.ant.filters.ExpandProperties;4;4;0;4;13;0;1;4;0
ant;1.7;org.apache.tools.ant.types.selectors.modifiedselector.PropertiesfileCache;12;1;0;2;42;0;1;12;0
ant;1.7;org.apache.tools.ant.taskdefs.cvslib.RCSFile;5;1;0;2;7;4;2;0;0
ant;1.7;org.apache.tools.ant.types.resources.ZipResource;12;5;0;10;52;60;2;10;0
ant;1.7;org.apache.tools.ant.taskdefs.ExecuteStreamHandler;5;1;0;31;5;10;31;5;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.dotnet.NetCommand;19;1;0;23;69;81;11;14;0
ant;1.7;org.apache.tools.ant.listener.TimestampedLogger;4;2;0;1;15;6;0;1;0
ant;1.7;org.apache.tools.mail.ErrorInQuitException;1;4;0;1;3;0;1;1;0
ant;1.7;org.apache.tools.ant.taskdefs.UpToDate;14;3;0;17;48;41;1;11;1
ant;1.7;org.apache.tools.ant.types.resources.comparators.Exists;2;4;0;2;4;1;0;1;0
ant;1.7;org.apache.tools.ant.util.ProxySetup;3;1;0;2;13;1;1;3;0
ant;1.7;org.apache.tools.ant.taskdefs.ManifestTask;7;3;0;9;39;1;0;7;1
ant;1.7;org.apache.tools.ant.taskdefs.optional.ccm.Continuus;7;3;3;12;26;9;3;4;0
ant;1.7;org.apache.tools.ant.util.Retryable;1;1;0;1;1;0;1;1;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.RenameExtensions;6;4;0;9;33;0;0;6;0
ant;1.7;org.apache.tools.ant.BuildEvent;11;2;0;17;15;13;15;11;0
ant;1.7;org.apache.tools.ant.util.CompositeMapper;2;2;0;3;13;1;1;2;0
ant;1.7;org.apache.tools.ant.types.resources.FileResource;24;4;0;45;68;244;41;22;2
ant;1.7;org.apache.tools.ant.util.ScriptRunnerBase;25;1;1;13;59;248;9;20;0
ant;1.7;org.apache.tools.ant.taskdefs.cvslib.RedirectingStreamHandler;3;2;0;5;12;3;1;1;0
ant;1.7;org.apache.tools.ant.launch.Launcher;9;1;0;5;57;34;2;2;1
ant;1.7;org.apache.tools.ant.taskdefs.condition.IsTrue;3;2;0;4;6;0;1;3;0
ant;1.7;org.apache.tools.ant.taskdefs.Zip;49;4;1;31;210;844;1;28;8
ant;1.7;org.apache.tools.ant.taskdefs.optional.unix.AbstractAccessTask;6;5;2;8;21;15;2;5;1
ant;1.7;org.apache.tools.ant.taskdefs.optional.extension.ExtensionSet;7;3;0;11;28;0;2;7;0
ant;1.7;org.apache.tools.ant.types.resources.selectors.Or;3;4;0;4;9;3;1;3;0
ant;1.7;org.apache.tools.bzip2.BZip2Constants;1;1;0;2;1;0;2;0;0
ant;1.7;org.apache.tools.ant.util.GlobPatternMapper;8;1;2;5;22;6;4;6;3
ant;1.7;org.apache.tools.ant.taskdefs.War;11;6;0;6;34;39;0;7;2
ant;1.7;org.apache.tools.ant.taskdefs.optional.vss.MSVSSADD;8;4;0;6;26;22;0;6;0
ant;1.7;org.apache.tools.ant.types.Permissions;12;1;0;8;34;26;6;6;0
ant;1.7;org.apache.tools.ant.taskdefs.condition.HasFreeSpace;7;1;0;5;16;0;0;6;0
ant;1.7;org.apache.tools.ant.taskdefs.email.UUMailer;2;3;0;3;15;1;0;0;0
ant;1.7;org.apache.tools.ant.types.resources.selectors.ResourceSelector;1;1;0;26;1;0;25;1;0
ant;1.7;org.apache.tools.ant.util.ResourceUtils;14;1;0;30;96;87;8;10;1
ant;1.7;org.apache.tools.ant.AntTypeDefinition;21;1;2;14;47;124;10;18;0
ant;1.7;org.apache.tools.ant.taskdefs.AntlibDefinition;5;3;3;6;12;2;4;5;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.j2ee.WebLogicHotDeploymentTool;13;2;0;8;37;60;1;7;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.vss.MSVSSLABEL;6;4;0;5;25;15;0;5;0
ant;1.7;org.apache.tools.ant.types.selectors.ExtendFileSelector;0;1;0;4;0;0;2;0;0
ant;1.7;org.apache.tools.ant.util.optional.JavaxScriptRunner;6;2;0;4;34;11;0;5;1
ant;1.7;org.apache.tools.ant.taskdefs.optional.perforce.P4Change;5;4;0;6;17;6;2;5;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.ssh.Scp;24;4;0;14;85;180;0;13;4
ant;1.7;org.apache.tools.ant.taskdefs.optional.javah.SunJavah;3;1;0;12;38;3;1;2;0
ant;1.7;org.apache.tools.ant.types.CommandlineJava;39;1;0;21;94;461;11;33;0
ant;1.7;org.apache.tools.ant.filters.ClassConstants;4;4;0;4;20;0;1;4;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.clearcase.CCLock;20;4;0;7;42;148;0;15;0
ant;1.7;org.apache.tools.ant.taskdefs.Cvs;1;4;0;1;2;0;0;1;0
ant;1.7;org.apache.tools.ant.types.Reference;9;1;1;63;15;14;61;9;0
ant;1.7;org.apache.tools.ant.filters.LineContains;10;5;0;6;29;0;1;7;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.junit.Constants;1;1;0;0;2;0;0;1;1
ant;1.7;org.apache.tools.ant.taskdefs.Available;22;3;0;12;71;163;1;17;1
ant;1.7;org.apache.tools.ant.types.selectors.TypeSelector;6;5;0;8;21;0;5;6;0
ant;1.7;org.apache.tools.ant.taskdefs.Sleep;10;3;0;2;20;21;0;9;0
ant;1.7;org.apache.tools.ant.types.resources.comparators.ResourceComparator;5;3;9;18;12;10;16;4;0
ant;1.7;org.apache.tools.ant.types.resources.comparators.Type;2;4;0;2;4;1;0;1;0
ant;1.7;org.apache.tools.ant.filters.TabsToSpaces;7;5;0;4;18;0;1;5;0
ant;1.7;org.apache.tools.ant.taskdefs.compilers.Jikes;2;2;0;8;34;1;1;2;0
ant;1.7;org.apache.tools.ant.types.ResourceCollection;3;1;0;69;3;3;69;3;0
ant;1.7;org.apache.tools.ant.util.IdentityStack;6;5;0;1;12;15;1;6;0
ant;1.7;org.apache.tools.ant.UnknownElement;31;3;0;29;119;277;19;19;3
ant;1.7;org.apache.tools.ant.taskdefs.Checksum;24;4;0;13;103;176;1;18;2
ant;1.7;org.apache.tools.ant.taskdefs.optional.ejb.WebsphereDeploymentTool;33;2;0;15;130;434;2;23;0
ant;1.7;org.apache.tools.ant.taskdefs.Basename;5;3;0;4;15;4;0;5;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.javah.Kaffeh;3;1;0;11;28;3;1;2;0
ant;1.7;org.apache.tools.ant.util.ChainedMapper;2;2;0;2;15;1;0;2;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.ccm.CCMCheckout;1;5;0;1;3;0;0;1;0
ant;1.7;org.apache.tools.ant.types.resources.BaseResourceCollectionWrapper;13;3;4;12;42;54;5;8;1
ant;1.7;org.apache.tools.ant.taskdefs.BUnzip2;4;4;0;6;29;6;0;1;0
ant;1.7;org.apache.tools.ant.util.Base64Converter;4;1;1;2;7;4;2;3;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.ssh.AbstractSshMessage;13;1;2;12;37;56;4;4;0
ant;1.7;org.apache.tools.ant.types.resources.selectors.Majority;4;4;0;3;11;0;0;4;0
ant;1.7;org.apache.tools.ant.taskdefs.FixCRLF;21;4;0;15;72;54;1;16;2
ant;1.7;org.apache.tools.ant.taskdefs.optional.j2ee.HotDeploymentTool;3;1;0;5;3;3;4;3;0
ant;1.7;org.apache.tools.ant.types.resources.Intersect;3;4;0;3;19;3;0;1;0
ant;1.7;org.apache.tools.ant.taskdefs.Javac;77;4;1;29;123;2700;14;68;3
ant;1.7;org.apache.tools.ant.types.resources.Touchable;1;1;0;4;1;0;4;1;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.extension.resolvers.LocationResolver;4;1;0;5;10;0;1;4;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.sos.SOSGet;6;4;0;3;20;15;0;5;0
ant;1.7;org.apache.tools.ant.types.ArchiveScanner;17;2;2;9;51;28;5;12;2
ant;1.7;org.apache.tools.ant.taskdefs.optional.depend.constantpool.Utf8CPInfo;4;2;0;5;9;0;5;4;0
ant;1.7;org.apache.tools.ant.types.resources.JavaResource;11;4;0;8;45;15;1;11;1
ant;1.7;org.apache.tools.ant.taskdefs.optional.ejb.IPlanetDeploymentTool;13;2;0;8;49;54;1;7;1
ant;1.7;org.apache.tools.ant.types.selectors.SelectorContainer;24;1;0;24;24;276;4;24;0
ant;1.7;org.apache.tools.ant.taskdefs.email.MimeMailer;5;2;0;7;69;8;1;2;4
ant;1.7;org.apache.tools.ant.taskdefs.optional.ssh.Directory;15;1;0;3;29;55;3;15;0
ant;1.7;org.apache.tools.ant.types.FilterSetCollection;5;1;0;9;13;0;8;5;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.depend.DirectoryIterator;3;1;0;2;21;1;0;2;0
ant;1.7;org.apache.tools.ant.taskdefs.condition.IsSigned;5;3;0;7;26;6;2;5;1
ant;1.7;org.apache.tools.ant.taskdefs.cvslib.CvsVersion;7;4;0;3;26;9;1;7;1
ant;1.7;org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantPool;14;1;0;10;53;0;8;14;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckout;26;4;0;7;50;271;0;20;0
ant;1.7;org.apache.tools.ant.taskdefs.XSLTProcess;44;4;0;28;137;774;4;31;2
ant;1.7;org.apache.tools.ant.TypeAdapter;5;1;0;7;5;10;6;5;0
ant;1.7;org.apache.tools.ant.taskdefs.SQLExec;26;4;0;12;109;233;1;20;8
ant;1.7;org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckin;17;4;0;7;39;100;0;14;0
ant;1.7;org.apache.tools.ant.util.FileUtils;58;1;0;142;158;1627;134;56;4
ant;1.7;org.apache.tools.ant.PropertyHelper;23;1;0;4;56;107;3;18;3
ant;1.7;org.apache.tools.ant.taskdefs.optional.dotnet.ImportTypelib;11;3;0;4;29;17;0;8;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.extension.resolvers.URLResolver;8;1;0;6;24;0;1;6;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.native2ascii.KaffeNative2Ascii;5;2;0;8;16;8;1;1;0
ant;1.7;org.apache.tools.ant.types.Substitution;4;3;0;5;7;0;3;4;1
ant;1.7;org.apache.tools.ant.taskdefs.cvslib.CvsUser;6;1;0;2;11;3;1;6;0
ant;1.7;org.apache.tools.zip.ExtraFieldUtils;7;1;0;4;41;15;1;6;2
ant;1.7;org.apache.tools.ant.filters.TailFilter;10;5;0;5;30;0;1;6;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.junit.Xalan2Executor;4;2;0;3;26;0;0;1;0
ant;1.7;org.apache.tools.ant.taskdefs.Length;17;3;0;18;53;86;4;14;1
ant;1.7;org.apache.tools.ant.types.selectors.SelectSelector;13;5;0;9;34;68;6;12;0
ant;1.7;org.apache.tools.ant.listener.AnsiColorLogger;3;2;0;1;17;0;0;1;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.junit.CompoundEnumeration;3;1;0;1;7;0;1;3;0
ant;1.7;org.apache.tools.ant.types.Quantifier;6;2;0;9;16;11;1;5;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.clearcase.ClearCase;13;3;13;24;45;46;13;9;0
ant;1.7;org.apache.tools.ant.taskdefs.optional.clearcase.CCUnlock;13;4;0;7;37;66;0;9;0
ant;1.7;org.apache.tools.ant.taskdefs.ResourceCount;8;3;0;7;25;12;0;8;0
ant;1.7;org.apache.tools.ant.taskdefs.Concat;29;3;0;25;109;268;1;20;4
